STOPID	PLANVERSIONID	SHORTNAME	LONGNAME	GPS_X	GPS_Y	DECIMALLONGITUDE	DECIMALLATITUDE
513144	40	C73K1G	Cl 73 entre Kr 1G y 1F	-762900330	32835622	-76.483425	3.47656167
513147	40	C52K3Y4B	Cl 52 entre Kr 3 y 4B	-763004588	32752956	-76.50127444	3.46471
513148	40	K5C52	Kr 5 entre Cl 52 y 47	-763007344	32744808	-76.50204	3.46244667
513149	40	C34K6A	Cl 34 entre Kr 6A y 7	-763046368	32725908	-76.51288	3.45719667
513150	40	C73K1D	Cl 73 entre Kr 1D y 1C1	-762902598	32842222	-76.484055	3.478395
513151	40	C73K1A14	Cl 73 entre Kr 1A14 y 1A13	-762905958	32852956	-76.48498833	3.48137667
513152	40	C73K1A82	Cl 73 entre Kr 1A8 y 1A7	-762909048	32902124	-76.48584667	3.48392333
513156	40	K1AC70	Kr 1A entre Cl 70 y 70A	-762939900	32912688	-76.49441667	3.48685778
513157	40	K1C70A1	Kr 1 entre Cl 70A y 71	-762933985	32923097	-76.49277361	3.48974917
513158	40	C73K1B21	Cl 73 entre Kr 1B2 y 1B3	-762905424	32846056	-76.48484	3.47946
513159	40	C73K1E	Cl 73 entre Kr 1E y 1F	-762902436	32836186	-76.48401	3.47671833
513160	40	C73K2A	Cl 73 entre Kr 2A y 2B	-762858626	32824432	-76.48295167	3.47345333
513161	40	C73AK3	Cl 73A entre Kr 3 y 4	-762855044	32817574	-76.48195667	3.47154833
513162	40	C73AK5	Cl 73A con Kr 5	-762850040	32807854	-76.48056667	3.46884833
513163	40	C73K1A2C	Cl 73 entre Kr 1A2C y 1A2B	-762915282	32922224	-76.48757833	3.48950667
513164	40	C62K1BIS	Cl 62 entre Kr 1Bis y 1A	-762950337	32847489	-76.49731583	3.47985806
513166	40	C62AK1B4	Cl 62A entre Kr 1B4 y 1B5	-762936377	32835368	-76.49343806	3.47649111
513167	40	C62AK1A8	Cl 62A entre Kr 1A8 y 1A7	-762934259	32844801	-76.49284972	3.47911139
513168	40	C66K1A15	Cl 66 con Kr 1A15	-762929110	32846015	-76.49141944	3.47944861
513172	40	K5NC67N	Kr 5N entre Cl 67 y 65	-763004819	32907003	-76.50133861	3.48527861
513182	40	K1C47Y50	Kr 1 entre Cl 47N y 50N	-763023589	32825087	-76.5065525	3.47363528
513183	40	C62K1B	Cl 62 con K1B	-762940647	32838234	-76.49462417	3.47728722
513185	40	K1C56	Kr 1 entre Cl 56 y 57 Comfandi IPS	-763004059	32843758	-76.5011275	3.47882167
513186	40	C56K1C	Cl 56 entre Kr 1D y 1C	-762958662	32824518	-76.49962833	3.47347722
513187	40	C56K1C1	Cl 56 entre Kr 1C y 1B	-763000783	32832369	-76.5002175	3.47565806
513188	40	K5C55	Kr 5 entre Cl55 y 54	-762953333	32748794	-76.49814806	3.46355389
513189	40	K5C59	Kr 5 entre Cl 59 y 58	-762942174	32752159	-76.49504833	3.46448861
513190	40	K5C62	Kr 5 entre Cl 62 y 60	-762932814	32754942	-76.49244833	3.46526167
513191	40	C52K7N	Cl 52 entre Kr 7N y 9N	-763026692	32846448	-76.50741444	3.47956889
513192	40	C52K1-1D	Cl 52 entre Kr 1 y 1D	-763013771	32828147	-76.50382528	3.47448528
513195	40	K2C49	Kr 2 entre Cl 49 y 47	-763014081	32803332	-76.50391139	3.46759222
516068	40	C13K44	Cl 13 entre Kr 44 y 44A	-763158242	32450346	-76.532845	3.413985
516069	40	C13K41A1	Cl 13 entre Kr 41A y 42	-763154984	32500258	-76.53194	3.41673833
516070	40	C13K41A2	Cl 13 entre Kr 41A y 41	-763154654	32500204	-76.53184833	3.41672333
516071	40	C13K37	Cl 13 entre Kr 37 y 38	-763150583	32514395	-76.5307175	3.42066528
516072	40	C13K39	Cl 13 entre Kr 39 y 38	-763151024	32511226	-76.53084	3.419785
516073	40	C13K341	Cl 13 entre Kr 34 y 35	-763147991	32522736	-76.5299975	3.42298222
516074	40	C13K342	Cl 13 entre Kr 34 y 33A	-763146398	32525170	-76.529555	3.42365833
516076	40	C13K32A	Cl 13 entre Kr 32 y 31	-763143265	32534954	-76.52868472	3.42637611
516077	40	C13K32	Cl 13 entre Kr 32 y 33	-763145498	32530149	-76.529305	3.42504139
516078	40	C13C141	Cl 13 con Cl 141	-763139654	32545487	-76.52768167	3.42930194
516079	40	C13C14	Cl 13 con Cl 14	-763138159	32546191	-76.52726639	3.4294975
516080	40	K46C522	Kr 46 entre Cl 52 y 51A	-763029940	32357544	-76.50831667	3.39931778
516081	40	K46C48	Kr 46 entre Cl 48 y 47	-763039656	32407802	-76.51101556	3.40216722
516082	40	K46C462	Kr 46 entre Cl 46 y 45	-763043681	32411817	-76.51213361	3.4032825
516084	40	K46C452	Kr 46 entre Cl 45 y 44	-763047698	32416144	-76.51324944	3.40448444
516085	40	K46C42A1	Kr 46 entre Cl 42 y 43	-763052083	32420014	-76.5144675	3.40555944
516086	40	K46C42A2	Kr 46 entre Cl 42A y 42	-763052368	32421120	-76.51454667	3.40586667
516088	40	K46C402	Kr 46 entre Cl 40 y 39	-763059458	32428575	-76.51651611	3.4079375
516089	40	K46C371	Kr 46 entre Cl 37 y 38A	-763103403	32431654	-76.51761194	3.40879278
516090	40	K46C372	Kr 46 entre Cl 37 y 36	-763103120	32432784	-76.51753333	3.40910667
516091	40	C27K431	Cl 27 entre Kr 43A y 45A	-763105854	32436680	-76.51829278	3.41018889
516092	40	C27K36	Cl 27 entre Kr 36 y 44	-763104860	32438844	-76.51801667	3.41079
516093	40	C27K42B1	Cl 27 entre Kr 42B y 43	-763104806	32445822	-76.51800167	3.41272833
516094	40	C27K42B2	Cl 27 entre Kr 42B y 42A	-763103750	32448978	-76.51770833	3.413605
516095	40	C27K421	Cl 27 entre Kr 41D y 42	-763104140	32452941	-76.51781667	3.41470583
516096	40	C27K422	Cl 27 entre Kr 42 y 41D	-763103553	32453320	-76.51765361	3.41481111
516098	40	C27K412	Cl 27 entre Kr 41 y 40B	-763102628	32502214	-76.51739667	3.41728167
516099	40	C27K371	Cl 27 entre Kr 37A y 39	-763102874	32510595	-76.517465	3.41960972
516100	40	C27K392	Cl 27 entre Kr 39 y 37	-763102217	32511163	-76.5172825	3.4197675
516101	40	C46K461	Cl 46 entre Kr 46 y 45	-763042101	32412508	-76.51169472	3.40347444
516103	40	C46K42C2	Cl 46 entre Kr 42C y 42B	-763032472	32421576	-76.50902	3.40599333
516104	40	C46K41E2	Cl 46 entre Kr 41E y 41D	-763027528	32426309	-76.50764667	3.40730806
516105	40	C46K41A2	Cl 46 entre Kr 41A y 41	-763022491	32431140	-76.5062475	3.40865
516106	40	K41BC46	Kr 41B entre Cl 46 y 47	-763017599	32431458	-76.50488861	3.40873833
516107	40	C54K41DE	Cl 54 entre Kr 41D y 41E	-763010972	32411891	-76.50304778	3.40330306
516108	40	C54K42B1	Cl 54 entre Kr 42B y 42C	-763019038	32404338	-76.50528833	3.401205
516110	40	C13K671	Cl 13 entre Kr 67 y 68	-763217418	32345606	-76.53817167	3.39600167
516112	40	K42C26	Kr 42 entre Cl 25 y 26B	-763114085	32451246	-76.52057917	3.414235
516119	40	K56C18	Kr 56 entre Cl 18 y 18A	-763131075	32406008	-76.52529861	3.40166889
516120	40	C25K56	Cl 25 entre Kr 56 y 61	-763125232	32402695	-76.52367556	3.40074861
516122	40	C10K50	Cl 10 entre Kr 50 y 53	-763221918	32432106	-76.53942167	3.40891833
516124	40	K66C17	Kr 66 entre Cl 17 y 18	-763134626	32350030	-76.526285	3.39723056
516127	40	K56C18A	Kr 56 entre Cl 18A y 18	-763131249	32406834	-76.52534694	3.40189833
516128	40	K56C16	Kr 56 entre Cl 16 y 15	-763141966	32410337	-76.52832389	3.40287139
516129	40	C14K58	Cl 14 entre Kr 58 y 65	-763155159	32406374	-76.53198861	3.40177056
516130	40	C14K65	Cl 14 entre Kr 65 y 65C	-763156895	32358027	-76.53247083	3.39945194
516131	40	K50C9	Kr 50 entre Cl 9 y 9B	-763227396	32438790	-76.54094333	3.410775
516132	40	K50C12A	Kr 50 entre C12A y 13	-763207706	32432198	-76.53547389	3.40894389
516134	40	K42C26D	Kr 42 entre Cl 26D y 27	-763106463	32451476	-76.51846194	3.41429889
516137	40	K44C12	Kr 44 entre Cl 12 y 12B	-763204009	32453378	-76.53444694	3.41482722
516138	40	C25K70	Cl 25 entre Kr 70 y 69 Hacienda	-763125248	32334321	-76.52368	3.39286694
516139	40	C25K69A	Cl 25 entre Kr 69A y 70 Clinica Comfandi	-763127749	32334007	-76.52437472	3.39277972
516140	40	C25K69	Cl 25 entre Kr 69 y 68B	-763124430	32345006	-76.52345278	3.395835
516141	40	K69C26	Kr 69 entre Cl 26 y 29	-763119433	32340421	-76.52206472	3.39456139
516142	40	C42K69	Cl 42 entre Kr 69 y 68	-763107588	32340568	-76.51877444	3.39460222
516143	40	C42K63	Cl 42 entre Kr 63 y 55	-763102481	32345467	-76.51735583	3.39596306
516144	40	K50C41	Kr 50 entre Cl 41 y 40A	-763102755	32351300	-76.51743194	3.39758333
516145	40	D65K50	Dg 65 entre Kr 50 y 33	-763116969	32356989	-76.52138028	3.39916361
516146	40	C16K65	Cl 16 entre Kr 65 y 62	-763139364	32358470	-76.52760111	3.399575
516147	40	C16K56	Cl 16 entre Kr 56 y 53	-763138358	32415179	-76.52732167	3.40421639
516148	40	C16K49A	Cl 16 entre Kr 49A y 49	-763135587	32427527	-76.52655194	3.40764639
516149	40	C16K46A	Cl 16 entre Kr 46A y 46	-763132120	32438477	-76.52558889	3.41068806
516150	40	C17K37A	Cl 17 entre Kr 37A y 38	-763126855	32513268	-76.52412639	3.42035222
516151	40	C17K33A	Cl 17 entre Kr 33A y 33	-763127402	32525376	-76.52427833	3.42371556
516152	40	C17K32	Cl 17 entre Kr 32 y 31A	-763127756	32533619	-76.52437667	3.42600528
516153	40	C17K29B	Cl 17 entre Kr 29B y 29A	-763128195	32541776	-76.52449861	3.42827111
516154	40	K25C18	Kr 25 entre Cl 18 y 13A	-763132001	32549928	-76.52555583	3.43053556
516155	40	K25C18A	Kr 25 entre Cl 18A y 18	-763129712	32551577	-76.52492	3.43099361
516156	40	C15K29A	Cl 15 entre Kr 29A y 30	-763134147	32539160	-76.52615194	3.42754444
516157	40	C15K33	Cl 15 entre Kr 33 y 33A	-763133505	32525461	-76.52597361	3.42373917
516159	40	K35C18	Kr 35 entre Cl 18 y 19	-763122073	32517873	-76.52279806	3.42163139
516160	40	C23K36C	Cl 23 entre Kr 36C y 39	-763119194	32511548	-76.52199833	3.41987444
516161	40	C23K40A	Cl 23 entre Kr 40A y 40B	-763120145	32502666	-76.5222625	3.41740722
516162	40	C23K42A	Cl 23 entre Kr 42A y 42B	-763121873	32447235	-76.5227425	3.41312083
516163	40	C23K45	Cl 23 entre Kr 45 y 46	-763122949	32437281	-76.52304139	3.41035583
516164	40	C23K49	Cl 23 entre Kr 49 y 49A	-763124225	32425347	-76.52339583	3.40704083
516165	40	K50C18	Kr 50 entre Cl 18 y 17A	-763130670	32421356	-76.52518611	3.40593222
516166	40	C16K53	Cl 16 entre Kr 53 y 56	-763139085	32415135	-76.52752361	3.40420417
516167	40	C16K561	Cl 16 entre Kr 56 y 65	-763140153	32400229	-76.52782028	3.40006361
516168	40	C36K40	Cl 36 entre Kr 40 y  40A	-763037459	32503023	-76.51040528	3.41750639
516169	40	C36K41A	Cl 36 entre Kr 41A y 41B	-763042424	32458220	-76.51178444	3.41617222
516171	40	C36K44	Cl 36 entre Kr 43 y 44	-763101052	32440335	-76.51695889	3.41120417
516177	40	C13K69	Cl 13 entre Kr 69 y 68	-763216975	32341488	-76.53804861	3.39485778
516179	40	K39C14	Kr 39 entre Cl 14 y 13C	-763142212	32506792	-76.52839222	3.41855333
516181	40	K39C192	Kr 39 entre Cl 19 y 18	-763123724	32507502	-76.52325667	3.41875056
516182	40	C25K47	Cl 25 entre Kr 47 y 46C	-763118480	32430832	-76.5218	3.40856444
516183	40	C25K45	Cl 25 entre Kr 45 y 44A	-763117647	32438440	-76.52156861	3.41067778
516184	40	C16K69	Cl 16 entre Kr 69 y 68	-763140468	32341139	-76.52790778	3.39476083
516185	40	K66C13E	Kr 66 entre Cl 13E y 13D	-763202416	32353194	-76.53400444	3.39810944
516186	40	K66C13B	Kr 66 entre Cl 13B y 13	-763211844	32353269	-76.53662333	3.39813028
516187	40	K66C131	Kr 66 entre Cl 13 y 12	-763219604	32353318	-76.53877889	3.39814389
516192	40	C25K731	Cl 25 entre Kr 73 y 70	-763126352	32326466	-76.52398667	3.390685
516193	40	C25K73	Cl 25 entre Kr 70 y 73	-763128260	32326256	-76.52451667	3.39062667
516194	40	C25K68A	Cl 25 entre Kr 68A y 68	-763123424	32346866	-76.52317333	3.39635167
516195	40	C25K66	Cl 25 entre Kr 66 y 68	-763127786	32344298	-76.524385	3.39563833
516196	40	C25D66	Cl 25 entre Dg 66 y 65	-763122752	32354000	-76.52298667	3.39833333
516197	40	K66C18	Kr 66 entre Cl 18 y 16	-763134642	32350530	-76.52628944	3.39736944
516198	40	K66C16	Kr 66 entre Cl 16 y 14C	-763143304	32351596	-76.52869556	3.39766556
516202	40	C14K66	Cl 14 entre Kr 66 y 65	-763155940	32356591	-76.53220556	3.39905306
516203	40	C14K64B	Cl 14 entre Kr 64Bis y 64A	-763154060	32406828	-76.53168333	3.40189667
516204	40	C14K56	Cl 14 entre Kr 56 y 54	-763151802	32415933	-76.53105611	3.40442583
516205	40	C14K54	Cl 14 entre Kr 54 y 56	-763152354	32416660	-76.53120944	3.40462778
516206	40	C14K53	Cl 14 entre Kr 53 y 50	-763149798	32423527	-76.53049944	3.40653528
516207	40	C14K50	Cl 14 entre Kr 50 y 53	-763150365	32424650	-76.53065694	3.40684722
516209	40	C14K47	Cl 14 entre Kr 47 y 50	-763147077	32435878	-76.52974361	3.40996611
516211	40	C14K442	Cl 14 entre Kr 44 y 45	-763144610	32444742	-76.52905833	3.41242833
516212	40	C14K43	Cl 14 entre Kr 43 y 42	-763141215	32454256	-76.52811528	3.41507111
516213	40	C14K42BS	Cl 14 entre Kr 42Bs y 43	-763141943	32454304	-76.5283175	3.41508444
516214	40	C14K40A	Cl 14 entre Kr 40A y 40	-763139417	32501139	-76.52761583	3.41698306
516215	40	C14K40	Cl 14 entre Kr 40 y 40A	-763139709	32502397	-76.52769694	3.4173325
516216	40	C14K38A	Cl 14 entre Kr 38A y 37A	-763138300	32508883	-76.52730556	3.41913417
516217	40	C14K37	Cl 14 entre Kr 37 y 39	-763138992	32509886	-76.52749778	3.41941278
516218	40	C14K34	Cl 14 entre Kr 34 y 33A	-763138986	32522438	-76.52749611	3.42289944
516219	40	C14K33A	Cl 14 entre Kr 33A y 34	-763139690	32521831	-76.52769167	3.42273083
516220	40	C14K32	Cl 14 entre Kr 32 y 31	-763139549	32533708	-76.5276525	3.42603
516221	40	C14K31	Cl 14 entre Kr 31 y 32	-763140378	32533707	-76.52788278	3.42602972
516224	40	C14K72	Cl 14 entre Kr 72 y 75	-763157336	32325002	-76.53259333	3.39027833
516225	40	C14K76	Cl 14 entre Kr 76 y 73	-763156682	32323616	-76.53241167	3.38989333
516226	40	C14K69A	Cl 14 entre Kr 69A y 70	-763157174	32338097	-76.53254833	3.39391583
516227	40	C14K70	Cl 14 entre Kr 70 y 69A	-763156421	32338681	-76.53233917	3.39407806
516230	40	C25K561	Cl 25 entre Kr 56 y 61	-763124515	32403277	-76.52347639	3.40091028
516231	40	K56C14	Kr 56 entre Cl 14 y 14C	-763149304	32412000	-76.53036222	3.40333333
516232	40	K56C15	Kr 56 entre Cl 15 y 16	-763143134	32409928	-76.52864833	3.40275778
516233	40	K56C7A	Kr 56 entre Cl 7A y 6A	-763241638	32429723	-76.54489944	3.40825639
516234	40	C25K41	Cl 25 entre Kr 41 y 40B	-763122278	32404713	-76.522855	3.40130917
516235	40	C13K29B	Cl 13 entre Kr 29B y 31	-763142656	32538933	-76.52851556	3.42748139
516236	40	C14K6867	Cl 14 entre Kr 68 y 67	-763156268	32348200	-76.53229667	3.39672222
516237	40	C14K49	Cl 14 entre Kr 49 y 48	-763147082	32433376	-76.529745	3.40927111
516238	40	C14K46	Cl 14 entre Kr 46 y 45	-763144355	32443253	-76.5289875	3.41201472
516239	40	K39C15	Kr 39 entre Cl 15 y 14C	-763134797	32506199	-76.5263325	3.41838861
516240	40	K39C26C	Kr 39 entre Cl 26C y 26E	-763106022	32509385	-76.51833944	3.41927361
517002	40	C8K10	Cl 8 entre Kr 10 y 12	-763202574	32646512	-76.53404833	3.44625333
517006	40	K56C82	Kr 56 entre Cl 8 y 9	-763236280	32427395	-76.54341111	3.40760972
517007	40	C9K512	Cl 9 entre Kr 53 y  52A	-763231258	32434422	-76.54201611	3.40956167
517008	40	C9K502	Cl 9 entre Kr 50 y 48	-763227728	32446177	-76.54103556	3.41282694
517009	40	C9K462	Cl 9 entre Kr 46 y 44	-763224732	32456046	-76.54020333	3.41556833
517011	40	K39C9A1	Kr 39 entre Cl 9A y 9	-763215056	32516655	-76.53751556	3.42129306
517012	40	K39C61	Kr 39 entre Cl 6 y 5F	-763233207	32520947	-76.5425575	3.42248528
517013	40	K39C5B1	Kr 39 entre Cl 5B y 5A	-763242414	32525638	-76.545115	3.42378833
517014	40	K52C31	Kr 52 entre Cl 3 y 2	-763310096	32455719	-76.55280444	3.4154775
517015	40	K52C22	Kr 52 entre Cl 2 y 3	-763309706	32455116	-76.55269611	3.41531
517016	40	C1K521	Cl 1 entre Kr 52 y 53	-763318444	32454558	-76.55512333	3.415155
517018	40	C1K55B1	Cl 1 entre Kr 55B y 56	-763320699	32441588	-76.55574972	3.41155222
517019	40	C1K552	Cl 1 entre Kr 55 y 54	-763320286	32441727	-76.555635	3.41159083
517020	40	C1K591	Cl 1 entre Kr 59 y 60	-763320916	32427180	-76.55581	3.40755
517021	40	C1K592	Cl 1 entre Kr 59 y 60 2	-763320274	32426586	-76.55563167	3.407385
517023	40	C1K622	Cl 1 entre Kr 61 y 62	-763320937	32419319	-76.55581583	3.40536639
513197	40	K1DC56-1	Kr 1D entre Cl 56 y 58	-762955982	32821951	-76.49888389	3.47276417
517026	40	C1K64A2	Cl 1 entre Kr 64A y 65A	-763324372	32400719	-76.55677	3.40019972
517027	40	C1K66B1	Cl 1 entre Kr 66B y 67	-763325634	32341820	-76.55712056	3.39495
517028	40	C1K692	Cl 1 entre Kr 69 y 67	-763324936	32340806	-76.55692667	3.39466833
517029	40	K70C1OE1	Kr 70 entre Cl 1Oe y 1AOe	-763326280	32333228	-76.5573	3.39256333
517030	40	C2OEK721	Cl 2Oe entre Kr 72 y 73B	-763328687	32326094	-76.55796861	3.39058167
517031	40	C2AOK74C	Cl 2AOe entre Kr 74C y 74D	-763330774	32320820	-76.55854833	3.38911667
517032	40	C2AOEK75	Cl 2AOe entre Kr 75 y 75A	-763331640	32315384	-76.55878889	3.38760667
517033	40	C1AOEK75	Cl 1AOe entre Kr 75 y 74B	-763326550	32321000	-76.557375	3.38916667
517034	40	C3OD511	Cl 3O entre Dg 51 y 50	-763322423	32500630	-76.55622861	3.41684167
517035	40	D50C61	Dg 50 entre Cl 6 y 7	-763328808	32458278	-76.55800222	3.41618833
517037	40	K52D502	Kr 52 entre Dg 50 y 51	-763334629	32456069	-76.55961917	3.41557472
517038	40	D51C82	Dg 51 entre Cl 8 y 7	-763330604	32455508	-76.55850111	3.41541889
517039	40	D51C52	Dg 51 entre Cl 5 y 4	-763324183	32457824	-76.5567175	3.41606222
517041	40	C2AK62B1	Cl 2A con Kr 62B	-763307338	32412510	-76.55203833	3.403475
517043	40	C2AK65A1	Cl 2A entre Kr 65A y 66	-763308585	32354075	-76.55238472	3.39835417
517046	40	C3K64	Cl 3 entre Kr 64 y 63A	-763259064	32404494	-76.54974	3.40124833
517052	40	C2K532	Cl 2 entre Kr 53 y 52	-763312432	32446728	-76.55345333	3.41298
517058	40	C1K501	Cl 1 entre Kr 52 y 50	-763314988	32504458	-76.55416333	3.417905
517059	40	C1K502	Cl 1 entre Kr 50 y Dg 51	-763315642	32504092	-76.554345	3.41780333
517060	40	C1K461	Cl 1 entre Kr 46 y 45	-763311094	32515102	-76.55308167	3.42086167
517061	40	C1K462	Cl 1 entre Kr 43A y 44	-763311166	32518570	-76.55310167	3.421825
517062	40	C1K441	Cl 1 entre Kr 44 y 42	-763309966	32524312	-76.55276833	3.42342
517063	40	C1K442	Cl 1 entre Kr 39 y 40	-763309156	32528356	-76.55254333	3.42454333
517064	40	C1K42	Cl 1 entre Kr 42 y 40	-763309217	32527500	-76.55256028	3.42430556
517065	40	D37C3A1	Dg 37 entre Cl 3A y 4	-763258927	32538338	-76.54970194	3.42731611
517066	40	D37AC41	Dg 37A entre Cl 4 y 4B	-763250928	32542780	-76.54748	3.42855
517067	40	C4BK36B1	Cl 4B entre Kr 36B y 36	-763247190	32552200	-76.54644167	3.43116667
517068	40	K36C4D1	Kr 36 entre Cl 4D y 5	-763238748	32552674	-76.54409667	3.43129833
517072	40	C5K38A2	Cl 5 entre Kr 38A y 38C	-763245036	32536894	-76.54584333	3.426915
517083	40	C1AK73B1	Cl 1AOe entre Kr 73B y 73A	-763325980	32325602	-76.55721667	3.390445
517084	40	C1AOEK73	Cl 1AOe entre Kr 73A y 72	-763325914	32331920	-76.55719833	3.3922
517090	40	C2AK791	Cl 2A entre Kr 79 y 78	-763306984	32314138	-76.55194	3.38726056
517091	40	C1CK782	Cl 1C con Kr 78	-763313721	32312868	-76.55381139	3.38690778
517093	40	C1CK74A2	Cl 1C entre Kr 74A y 74	-763313814	32323591	-76.55383722	3.38988639
517102	40	C9K65A	Cl 9 entre Kr 65A y 65	-763239582	32356976	-76.54432833	3.39916
517103	40	C9K63A	Cl 9 entre Kr 63A y 63	-763238454	32408196	-76.544015	3.40227667
517104	40	C9K61A	Cl 9 entre Kr 61A y 61	-763236214	32417575	-76.54339278	3.40488194
517105	40	C9K56	Cl 9 entre Kr 56 y 55	-763233160	32427963	-76.54254444	3.4077675
517107	40	C9K39	Cl 9 entre Kr 39 y 38	-763217801	32519382	-76.53827806	3.42205056
517108	40	C9K37	Cl 9 entre Kr 37 y 36	-763216218	32530246	-76.53783833	3.42506833
517109	40	C6K24A	Cl 6 entre Kr 24A y 25	-763219692	32607452	-76.53880333	3.43540333
