"","country","long","lat","program","year","investment","invLog"
"7180","Uruguay",56.01,-32.86,"IP","1948",1300000,6.11394335230684
"7212","Venezuela",66.15,7.67,"IP","1948",1e+05,5
"7274","World_not_specified",40,30,"IP","1948",230800000,8.36323580448369
"7339","Afghanistan",-66.03,33.83,"CSH","1949",0,-Inf
"7340","Afghanistan",-66.03,33.83,"DDS","1949",0,-Inf
"7437","Asia_not_specified",-106.46,36.42,"IP","1949",31500000,7.4983105537896
"7450","Australia",-134.5,-25.58,"IP","1949",1300000,6.11394335230684
"7453","Austria",-14.14,47.59,"IP","1949",2e+05,5.30102999566398
"7456","Austria",-14.14,47.59,"OUSAID","1949",2.74e+08,8.43775056282039
"7530","Belgium",-4.64,50.65,"OUSAID","1949",2.61e+08,8.41664050733828
"7567","Bolivia",64.67,-16.71,"IP","1949",4e+05,5.60205999132796
"7614","Brazil",52.97,-10.81,"IP","1949",8e+05,5.90308998699194
"7788","Chile",72.44,-39.12,"IP","1949",4e+05,5.60205999132796
"7827","China_Taiwan",-120.9,23.69,"OUSAID","1949",344600000,8.53731527311201
"7837","Colombia",73.28,4,"IP","1949",2e+05,5.30102999566398
"7893","Costa_Rica",83.88,10,"IP","1949",1e+05,5
"7956","Denmark",-9.56,56.1,"OUSAID","1949",126100000,8.10071508657308
"7983","Dominican_Republic",70.34,19.05,"IP","1949",1000,3
"8025","Ecuador",78.87,-1.42,"IP","1949",5e+05,5.69897000433602
"8058","El_Salvador",88.87,13.67,"IP","1949",201000,5.30319605742049
"8155","France",-2.34,46.64,"OUSAID","1949",1313300000,9.11836394426344
"8205","Germany",-10.38,51.2,"IP","1949",651600000,8.81398107563647
"8208","Germany",-10.38,51.2,"OUSAID","1949",6.06e+08,8.78247262416629
"8231","Greece",-23.74,38.3,"IP","1949",9500000,6.97772360528885
"8235","Greece",-23.74,38.3,"OUSAID","1949",193800000,8.28735377271475
"8250","Guatemala",90.16,15.48,"IP","1949",2900000,6.46239799789896
"8311","Haiti",72.44,19.09,"IP","1949",4e+05,5.60205999132796
"8330","Honduras",86.27,14.97,"IP","1949",2e+05,5.30102999566398
"8352","Iceland",18.96,64.93,"IP","1949",1e+05,5
"8353","Iceland",18.96,64.93,"OUSAID","1949",8300000,6.91907809237607
"8361","India",-79.14,22.67,"IP","1949",5e+05,5.69897000433602
"8387","Indonesia",-119.52,-2.96,"OUSAID","1949",61700000,7.79028516403324
"8420","Ireland",8.2,53.18,"OUSAID","1949",85601000,7.93247883818119
"8439","Italy",-12.49,42.77,"OUSAID","1949",684100000,8.83511959042455
"8458","Japan",-136.06,35.16,"IP","1949",501500000,8.70027093735644
"8523","Korea_South",-127.51,36.1,"IP","1949",141800000,8.15167623084705
"8644","Liberia",9.32,6.41,"IP","1949",2e+05,5.30102999566398
"8802","Mexico",102.63,23.91,"IP","1949",17800000,7.25042000230889
"8938","Netherlands",-5.53,52.34,"OUSAID","1949",504800000,8.70311934623608
"8949","Nicaragua",84.92,12.9,"IP","1949",401000,5.60314437262018
"8995","Norway",-13.24,65.4,"OUSAID","1949",100500000,8.00216606175651
"9001","Oceania_not_specified",-130.84,-12.47,"IP","1949",1100000,6.04139268515823
"9042","Panama",80.41,8.6,"IP","1949",3e+05,5.47712125471966
"9069","Paraguay",58.39,-23.24,"IP","1949",4e+05,5.60205999132796
"9085","Peru",75.11,-9.21,"IP","1949",9e+05,5.95424250943933
"9104","Philippines",-122.71,12.02,"IP","1949",178600000,8.25188145455253
"9425","Sweden",-16.24,62.92,"IP","1949",1600000,6.20411998265593
"9428","Sweden",-16.24,62.92,"OUSAID","1949",45200000,7.65513843481138
"9555","Turkey",-34.93,39.05,"OUSAID","1949",33800000,7.52891670027766
"9621","United_Kingdom",2.78,54.07,"OUSAID","1949",1613700000,9.20782279900151
"9626","Uruguay",56.01,-32.86,"IP","1949",1e+05,5
"9658","Venezuela",66.15,7.67,"IP","1949",2e+05,5.30102999566398
"9720","World_not_specified",40,30,"IP","1949",170600000,8.2319790268315
"9727","World_not_specified",40,30,"OUSAID","1949",26600000,7.42488163663107
"9785","Afghanistan",-66.03,33.83,"CSH","1950",0,-Inf
"9786","Afghanistan",-66.03,33.83,"DDS","1950",0,-Inf
"9791","Afghanistan",-66.03,33.83,"IP","1950",1000,3
"9880","Asia_not_specified",-106.46,36.42,"ESFSS","1950",7e+05,5.84509804001426
"9883","Asia_not_specified",-106.46,36.42,"IP","1950",24300000,7.38560627359831
"9899","Austria",-14.14,47.59,"IP","1950",1000,3
"9902","Austria",-14.14,47.59,"OUSAID","1950",168800000,8.22737244228964
"9972","Belgium",-4.64,50.65,"IP","1950",7e+05,5.84509804001426
"9976","Belgium",-4.64,50.65,"OUSAID","1950",229200000,8.36021461329535
"10013","Bolivia",64.67,-16.71,"IP","1950",5e+05,5.69897000433602
"10060","Brazil",52.97,-10.81,"IP","1950",8e+05,5.90308998699194
"10234","Chile",72.44,-39.12,"IP","1950",3e+05,5.47712125471966
"10283","Colombia",73.28,4,"IP","1950",3e+05,5.47712125471966
"10339","Costa_Rica",83.88,10,"IP","1950",4e+05,5.60205999132796
"10402","Denmark",-9.56,56.1,"OUSAID","1950",83500000,7.9216864754836
"10471","Ecuador",78.87,-1.42,"IP","1950",6e+05,5.77815125038364
"10504","El_Salvador",88.87,13.67,"IP","1950",4e+05,5.60205999132796
"10601","France",-2.34,46.64,"OUSAID","1950",7.02e+08,8.84633711212981
"10651","Germany",-10.38,51.2,"IP","1950",443400000,8.64679568877847
"10654","Germany",-10.38,51.2,"OUSAID","1950",2.9e+08,8.46239799789896
"10677","Greece",-23.74,38.3,"IP","1950",16200000,7.20951501454263
"10681","Greece",-23.74,38.3,"OUSAID","1950",177100000,8.24821856119008
"10696","Guatemala",90.16,15.48,"IP","1950",1700000,6.23044892137827
"10757","Haiti",72.44,19.09,"IP","1950",5e+05,5.69897000433602
"10776","Honduras",86.27,14.97,"IP","1950",1e+05,5
"10799","Iceland",18.96,64.93,"OUSAID","1950",7100000,6.85125834871908
"10807","India",-79.14,22.67,"IP","1950",1000,3
"10833","Indonesia",-119.52,-2.96,"OUSAID","1950",39800000,7.59988307207369
"10863","Iraq",-43.8,33.04,"T2","1950",1000,3
"10866","Ireland",8.2,53.18,"OUSAID","1950",45300000,7.65609820201283
"10885","Italy",-12.49,42.77,"OUSAID","1950",402300000,8.60455003257126
"10904","Japan",-136.06,35.16,"IP","1950",365300000,8.56264967221192
"10969","Korea_South",-127.51,36.1,"IP","1950",98100000,7.99166900737995
"11090","Liberia",9.32,6.41,"IP","1950",1e+05,5
"11248","Mexico",102.63,23.91,"IP","1950",2e+07,7.30102999566398
"11384","Netherlands",-5.53,52.34,"OUSAID","1950",2.69e+08,8.42975228000241
"11395","Nicaragua",84.92,12.9,"IP","1950",4e+05,5.60205999132796
"11441","Norway",-13.24,65.4,"OUSAID","1950",95400000,7.97954837470409
"11447","Oceania_not_specified",-130.84,-12.47,"IP","1950",8e+05,5.90308998699194
"11488","Panama",80.41,8.6,"IP","1950",201000,5.30319605742049
"11515","Paraguay",58.39,-23.24,"IP","1950",5e+05,5.69897000433602
"11531","Peru",75.11,-9.21,"IP","1950",9e+05,5.95424250943933
"11550","Philippines",-122.71,12.02,"IP","1950",137900000,8.13956426617585
"11579","Portugal",8.35,39.64,"OUSAID","1950",31500000,7.4983105537896
"11874","Sweden",-16.24,62.92,"OUSAID","1950",51600000,7.71264970162721
"12001","Turkey",-34.93,39.05,"OUSAID","1950",71900000,7.85672889038288
"12067","United_Kingdom",2.78,54.07,"OUSAID","1950",957300000,8.98104805891317
"12072","Uruguay",56.01,-32.86,"IP","1950",1e+05,5
"12104","Venezuela",66.15,7.67,"IP","1950",1e+05,5
"12155","Western_Europe_not_specified",1.98,43.32,"OUSAID","1950",1900000,6.27875360095283
"12166","World_not_specified",40,30,"IP","1950",70400000,7.84757265914211
"12173","World_not_specified",40,30,"OUSAID","1950",4.1e+07,7.61278385671974
"12231","Afghanistan",-66.03,33.83,"CSH","1951",0,-Inf
"12232","Afghanistan",-66.03,33.83,"DDS","1951",0,-Inf
"12237","Afghanistan",-66.03,33.83,"IP","1951",1e+05,5
"12326","Asia_not_specified",-106.46,36.42,"ESFSS","1951",21700000,7.33645973384853
"12329","Asia_not_specified",-106.46,36.42,"IP","1951",34200000,7.53402610605614
"12335","Asia_not_specified",-106.46,36.42,"OUSAID","1951",8e+05,5.90308998699194
"12345","Austria",-14.14,47.59,"IP","1951",1000,3
"12348","Austria",-14.14,47.59,"OUSAID","1951",118600000,8.07408468902824
"12422","Belgium",-4.64,50.65,"OUSAID","1951",59800000,7.77670118398841
"12459","Bolivia",64.67,-16.71,"IP","1951",5e+05,5.69897000433602
"12506","Brazil",52.97,-10.81,"IP","1951",1200000,6.07918124604763
"12558","Burma_Myanmar_",-96.11,21.41,"OUSAID","1951",10400000,7.01703333929878
"12680","Chile",72.44,-39.12,"IP","1951",4e+05,5.60205999132796
"12714","China_Taiwan",-120.9,23.69,"ESFSS","1951",97700000,7.98989456371877
"12729","Colombia",73.28,4,"IP","1951",3e+05,5.47712125471966
"12785","Costa_Rica",83.88,10,"IP","1951",7e+05,5.84509804001426
"12826","Cuba",79.01,22.1,"IP","1951",1e+05,5
"12848","Denmark",-9.56,56.1,"OUSAID","1951",49300000,7.69284691927723
"12875","Dominican_Republic",70.34,19.05,"IP","1951",1e+05,5
"12917","Ecuador",78.87,-1.42,"IP","1951",7e+05,5.84509804001426
"12934","Egypt",-29.87,26.75,"IP","1951",1e+05,5
"12950","El_Salvador",88.87,13.67,"IP","1951",201000,5.30319605742049
"13003","Ethiopia",-39.63,8.62,"IP","1951",1e+05,5
"13047","France",-2.34,46.64,"OUSAID","1951",436400000,8.6398847419163
"13100","Germany",-10.38,51.2,"OUSAID","1951",402500000,8.60476588470389
"13123","Greece",-23.74,38.3,"IP","1951",5e+05,5.69897000433602
"13127","Greece",-23.74,38.3,"OUSAID","1951",156500000,8.19451434188247
"13142","Guatemala",90.16,15.48,"IP","1951",7e+05,5.84509804001426
"13203","Haiti",72.44,19.09,"IP","1951",6e+05,5.77815125038364
"13222","Honduras",86.27,14.97,"IP","1951",2e+05,5.30102999566398
"13245","Iceland",18.96,64.93,"OUSAID","1951",8400000,6.92427928606188
"13253","India",-79.14,22.67,"IP","1951",190300000,8.27943878828702
"13259","India",-79.14,22.67,"OUSAID","1951",4500000,6.65321251377534
"13279","Indonesia",-119.52,-2.96,"OUSAID","1951",7900000,6.89762709129044
"13287","Iran",-54.29,32.5,"IP","1951",1500000,6.17609125905568
"13299","Iraq",-43.8,33.04,"IP","1951",1000,3
"13312","Ireland",8.2,53.18,"OUSAID","1951",16500000,7.21748394421391
"13316","Israel",-34.82,31.61,"IP","1951",1e+05,5
"13331","Italy",-12.49,42.77,"OUSAID","1951",262700000,8.41946007278607
"13350","Japan",-136.06,35.16,"IP","1951",290300000,8.46284703583167
"13358","Jordan",-36.38,31.21,"IP","1951",1e+05,5
"13415","Korea_South",-127.51,36.1,"IP","1951",87600000,7.94250410616808
"13505","Lebanon",-35.81,33.95,"IP","1951",1e+05,5
"13536","Liberia",9.32,6.41,"IP","1951",8e+05,5.90308998699194
"13551","Libya",-18.04,27.24,"IP","1951",2e+05,5.30102999566398
"13694","Mexico",102.63,23.91,"IP","1951",8200000,6.91381385238372
"13830","Netherlands",-5.53,52.34,"OUSAID","1951",107800000,8.03261876085072
"13841","Nicaragua",84.92,12.9,"IP","1951",7e+05,5.84509804001426
"13887","Norway",-13.24,65.4,"OUSAID","1951",41900000,7.6222140229663
"13893","Oceania_not_specified",-130.84,-12.47,"IP","1951",1e+06,6
"13914","Pakistan",-68.76,29.32,"IP","1951",4e+05,5.60205999132796
"13934","Panama",80.41,8.6,"IP","1951",401000,5.60314437262018
"13961","Paraguay",58.39,-23.24,"IP","1951",7e+05,5.84509804001426
"13977","Peru",75.11,-9.21,"IP","1951",1300000,6.11394335230684
"13996","Philippines",-122.71,12.02,"IP","1951",120300000,8.08026562733984
"14003","Philippines",-122.71,12.02,"OUSAID","1951",1.5e+07,7.17609125905568
"14025","Portugal",8.35,39.64,"OUSAID","1951",19700000,7.29446622616159
"14094","Saudi_Arabia",-44.44,23.89,"IP","1951",1e+05,5
"14131","Serbia_and_Montenegro_Former",-19.75,43.04,"ESFSS","1951",27900000,7.4456042032736
"14133","Serbia_and_Montenegro_Former",-19.75,43.04,"IP","1951",37600000,7.57518784492766
"14138","Serbia_and_Montenegro_Former",-19.75,43.04,"OUSAID","1951",15300000,7.1846914308176
"14233","Spain",3.55,40.4,"OUSAID","1951",17200000,7.23552844690755
"14320","Sweden",-16.24,62.92,"OUSAID","1951",21700000,7.33645973384853
"14369","Thailand",-101.1,15.23,"ESFSS","1951",8300000,6.91907809237607
"14378","Thailand",-101.1,15.23,"OUSAID","1951",6e+05,5.77815125038364
"14447","Turkey",-34.93,39.05,"OUSAID","1951",49800000,7.69722934275972
"14513","United_Kingdom",2.78,54.07,"OUSAID","1951",267100000,8.42667388802137
"14518","Uruguay",56.01,-32.86,"IP","1951",2e+05,5.30102999566398
"14550","Venezuela",66.15,7.67,"IP","1951",2e+05,5.30102999566398
"14601","Western_Europe_not_specified",1.98,43.32,"OUSAID","1951",352200000,8.54678935163126
"14612","World_not_specified",40,30,"IP","1951",30800000,7.48855071650044
"14619","World_not_specified",40,30,"OUSAID","1951",29100000,7.46389298898591
"14677","Afghanistan",-66.03,33.83,"CSH","1952",0,-Inf
"14678","Afghanistan",-66.03,33.83,"DDS","1952",0,-Inf
"14689","Afghanistan",-66.03,33.83,"OUSAID","1952",3e+05,5.47712125471966
"14772","Asia_not_specified",-106.46,36.42,"ESFSS","1952",2.4e+07,7.38021124171161
"14775","Asia_not_specified",-106.46,36.42,"IP","1952",34400000,7.53655844257153
"14781","Asia_not_specified",-106.46,36.42,"OUSAID","1952",599000,5.77742682238931
"14785","Asia_not_specified",-106.46,36.42,"T2","1952",1e+05,5
"14794","Austria",-14.14,47.59,"OUSAID","1952",116300000,8.06557971472845
"14796","Austria",-14.14,47.59,"T2","1952",1800000,6.25527250510331
"14868","Belgium",-4.64,50.65,"OUSAID","1952",9200000,6.96378782734556
"14869","Belgium",-4.64,50.65,"T2","1952",1000,3
"14910","Bolivia",64.67,-16.71,"OUSAID","1952",1500000,6.17609125905568
"14915","Bolivia",64.67,-16.71,"T2","1952",1000,3
"14958","Brazil",52.97,-10.81,"OUSAID","1952",2600000,6.41497334797082
"15056","Canada",95.91,62.83,"IP","1952",6e+06,6.77815125038364
"15132","Chile",72.44,-39.12,"OUSAID","1952",1100000,6.04139268515823
"15160","China_Taiwan",-120.9,23.69,"ESFSS","1952",80600000,7.90633504180509
"15165","China_Taiwan",-120.9,23.69,"OUSAID","1952",4e+05,5.60205999132796
"15168","China_Taiwan",-120.9,23.69,"T2","1952",4e+05,5.60205999132796
"15182","Colombia",73.28,4,"OUSAID","1952",7e+05,5.84509804001426
"15226","Congo_Kinshasa",-15.32,-4.31,"T2","1952",1000,3
"15231","Costa_Rica",83.88,10,"IP","1952",9e+05,5.95424250943933
"15236","Costa_Rica",83.88,10,"OUSAID","1952",1300000,6.11394335230684
"15274","Cuba",79.01,22.1,"OUSAID","1952",1e+05,5
"15294","Denmark",-9.56,56.1,"OUSAID","1952",14200000,7.15228834438306
"15328","Dominican_Republic",70.34,19.05,"OUSAID","1952",2e+05,5.30102999566398
"15356","Eastern_Europe_not_specified",-22.78,49.58,"T2","1952",1000,3
"15369","Ecuador",78.87,-1.42,"OUSAID","1952",1400000,6.14612803567824
"15386","Egypt",-29.87,26.75,"OUSAID","1952",4e+05,5.60205999132796
"15389","Egypt",-29.87,26.75,"T2","1952",8e+05,5.90308998699194
"15396","El_Salvador",88.87,13.67,"IP","1952",1000,3
"15403","El_Salvador",88.87,13.67,"OUSAID","1952",5e+05,5.69897000433602
"15455","Ethiopia",-39.63,8.62,"OUSAID","1952",1200000,6.07918124604763
"15459","Ethiopia",-39.63,8.62,"T2","1952",1000,3
"15488","Finland",-25.99,64.29,"T2","1952",1e+05,5
"15493","France",-2.34,46.64,"OUSAID","1952",262100000,8.4184670209466
"15495","France",-2.34,46.64,"T2","1952",1e+06,6
"15546","Germany",-10.38,51.2,"OUSAID","1952",9.2e+07,7.96378782734556
"15547","Germany",-10.38,51.2,"T2","1952",17500000,7.24303804868629
"15565","Ghana",1.2,7.92,"T2","1952",1000,3
"15573","Greece",-23.74,38.3,"OUSAID","1952",179300000,8.25358028956218
"15575","Greece",-23.74,38.3,"T2","1952",5e+05,5.69897000433602
"15588","Guatemala",90.16,15.48,"IP","1952",9e+05,5.95424250943933
"15593","Guatemala",90.16,15.48,"OUSAID","1952",2e+05,5.30102999566398
"15641","Guyana",59.05,5.1,"T2","1952",1000,3
"15649","Haiti",72.44,19.09,"IP","1952",1e+05,5
